exposure	outcome	sequence_id	protein	gene	nsnp	method	b	se	pval	OR	lower_ci	upper_ci
2900_53_CCL14_HCC_1	myeloma_meta-analysis	2900_53	HCC_1	CCL14	1	Wald ratio	-0.136815048486973	0.0694006309148265	0.0486803730662017	0.872131513259437	0.761214355210418	0.999210499925403
9950_229_LAG3_LAG_3	ieu-b-4957	9950_229	LAG_3	LAG3	1	Wald ratio	-0.163672775539517	0.468377203390362	0.726754127111093	0.849019796475249	0.339021383918798	2.12622167508916
9212_22_CTSF_CATF	ieu-b-4957	9212_22	CATF	CTSF	1	Wald ratio	0.521054242616426	0.343785483092307	0.129610985996686	1.68380184998366	0.858331144850416	3.30314085305908
11493_169_DYNLL2_DYL2	ieu-b-4957	11493_169	DYL2	DYNLL2	1	Wald ratio	-1.06870823860213	1.09194227141819	0.327717216252818	0.343451888884067	0.0404004203008897	2.91975180207311
11493_169_DYNLL2_DYL2	myeloma_meta-analysis	11493_169	DYL2	DYNLL2	1	Wald ratio	-0.76130198915009	0.678119349005425	0.261579089935658	0.467057926612498	0.123635703401361	1.76440219782957
8464_31_RSPO4_RSPO4	myeloma_meta-analysis	8464_31	RSPO4	RSPO4	1	Wald ratio	-0.0792838874680307	0.48542199488491	0.870258755497758	0.92377763832221	0.356753219748471	2.3920320205262
17843_30_PPCS_PPCS	ieu-b-4957	17843_30	PPCS	PPCS	1	Wald ratio	-0.229657274354202	0.584560782906921	0.694414388809236	0.794805956213995	0.252739387813872	2.49947787520348
10070_22_PLCG2_PLCG2	ieu-b-4957	10070_22	PLCG2	PLCG2	1	Wald ratio	-0.561657320028839	0.456487994670103	0.218551870054347	0.570263171666181	0.233079941059908	1.39522982320983
8398_277_RARRES1_RAR_responsive_protein_TIG1	ieu-b-4957	8398_277	RAR_responsive_protein_TIG1	RARRES1	1	Wald ratio	0.121840952429888	0.0617368726385288	0.0484326620902379	1.12957443142405	1.00083703217444	1.27487128784077
17738_7_CRNN_CRNN	ieu-b-4957	17738_7	CRNN	CRNN	1	Wald ratio	0.348631514598327	0.491331649884938	0.477974217567592	1.41712690354409	0.540976997688113	3.71226257184834
7822_11_HRASLS2_HRSL2	ieu-b-4957	7822_11	HRSL2	HRASLS2	1	Wald ratio	0.276294722012523	1.21889026983793	0.820674700933907	1.31823632004245	0.120907413149294	14.3725430080397
7822_11_HRASLS2_HRSL2	myeloma_meta-analysis	7822_11	HRSL2	HRASLS2	1	Wald ratio	-1.49233716475096	0.737547892720306	0.043034332436017	0.224846537564761	0.0529752193352313	0.954332348016144
4125_52_AGER_sRAGE	ieu-b-4957	4125_52	sRAGE	AGER	1	Wald ratio	0.209611400732911	0.159505987656032	0.188802887845508	1.23319874670324	0.902108628850256	1.68580490224186
2742_68_SIGLEC7_Siglec_7	ieu-b-4957	2742_68	Siglec_7	SIGLEC7	1	Wald ratio	-0.00396917400129389	0.221513470193718	0.985703924950113	0.996038692758212	0.645238298369875	1.53756074302766
2742_68_SIGLEC7_Siglec_7	myeloma_meta-analysis	2742_68	Siglec_7	SIGLEC7	1	Wald ratio	0.0394278378874014	0.134971575279663	0.770195207911319	1.04021543203337	0.798423237230548	1.35523127908152
18916_25_ITPA_Inosine_triphosphatase	ieu-b-4957	18916_25	Inosine_triphosphatase	ITPA	1	Wald ratio	0.0785329271443156	0.082556049180012	0.341468350902338	1.08169897183405	0.920096310356081	1.27168498829651
18916_25_ITPA_Inosine_triphosphatase	myeloma_meta-analysis	18916_25	Inosine_triphosphatase	ITPA	1	Wald ratio	0.0475189550334059	0.0532993018542151	0.372634557878468	1.04866607843345	0.944643495032092	1.16414345712466
14101_2_CNTFR_CNTFR_alpha	myeloma_meta-analysis	14101_2	CNTFR_alpha	CNTFR	1	Wald ratio	-0.143881024905931	0.162874036910948	0.377026489087708	0.865990773264079	0.629320799462535	1.19166571328803
8327_26_DPEP2_DPEP2	myeloma_meta-analysis	8327_26	DPEP2	DPEP2	1	Wald ratio	-0.0946343150250706	0.259120511786064	0.714952024483953	0.909705539297562	0.547435562585477	1.51171064649175
9394_19_CPQ_Aminopeptidase	myeloma_meta-analysis	9394_19	Aminopeptidase	CPQ	1	Wald ratio	0.167389087200408	0.120665476797552	0.165375889968833	1.18221416023083	0.933219122874989	1.49764432210152
12786_61_GPCPD1_GDE5	ieu-b-4957	12786_61	GDE5	GPCPD1	1	Wald ratio	0.173705281472608	0.847827107966647	0.837663611132052	1.18970488607494	0.22581575622443	6.26793160767694
8235_48_CHGB_SCG1	myeloma_meta-analysis	8235_48	SCG1	CHGB	1	Wald ratio	-1.09919944309085	0.452836756004177	0.0152090060733344	0.333137672639563	0.137139107532385	0.809256461768189
16773_29_SCUBE3_SCUB3	ieu-b-4957	16773_29	SCUB3	SCUBE3	1	Wald ratio	0.0333000921841673	0.292406731419971	0.909330714368431	1.03386074622309	0.58285484596171	1.83384945666418
16773_29_SCUBE3_SCUB3	myeloma_meta-analysis	16773_29	SCUB3	SCUBE3	1	Wald ratio	-0.118507681053402	0.188734455010973	0.530064880329334	0.888244992973377	0.613590683201579	1.28583954929947
3290_50_CD109_CD109	ieu-b-4957	3290_50	CD109	CD109	1	Wald ratio	0.00738876994028257	0.111183154975959	0.947014914648329	1.00741613425559	0.810154576924997	1.25270818244409
3290_50_CD109_CD109	myeloma_meta-analysis	3290_50	CD109	CD109	1	Wald ratio	-0.0110644792064098	0.0682945440671499	0.871297055183755	0.9889965070095	0.865089952975348	1.13065015668361
19446_1_GMPR2_GMPR2	ieu-b-4957	19446_1	GMPR2	GMPR2	1	Wald ratio	0.126631540703378	0.272682043492202	0.642366444776878	1.13499873988966	0.665095084364112	1.93689920409316
19446_1_GMPR2_GMPR2	myeloma_meta-analysis	19446_1	GMPR2	GMPR2	1	Wald ratio	0.144784534836891	0.165928312525171	0.382895963126422	1.15579051084623	0.834906983191028	1.60000063702491
3004_67_PDCD1LG2_PD_L2	ieu-b-4957	3004_67	PD_L2	PDCD1LG2	1	Wald ratio	0.0183868689125969	0.182428048543282	0.919717400677743	1.01855694819612	0.712359836970803	1.4563682606395
3004_67_PDCD1LG2_PD_L2	myeloma_meta-analysis	3004_67	PD_L2	PDCD1LG2	1	Wald ratio	-0.155619596541787	0.113832853025937	0.171597533708961	0.855884709956204	0.684729103369202	1.06982255191486
5632_6_CRTAC1_CRAC1	ieu-b-4957	5632_6	CRAC1	CRTAC1	1	Wald ratio	-0.324370343893221	0.168623530130398	0.0544001874474213	0.722982440661733	0.519508314920703	1.00615061297908
15435_4_PNP_PNP	ieu-b-4957	15435_4	PNP	PNP	1	Wald ratio	0.352668356905161	0.431901000623168	0.414186175010287	1.42285918375362	0.610267676386969	3.31744304200749
2890_59_CCL28_CCL28	ieu-b-4957	2890_59	CCL28	CCL28	1	Wald ratio	-0.212831659599735	1.05753245561834	0.840500691788164	0.808292193995709	0.101713496822748	6.42329967293271
5085_18_IL20RA_IL_20_Ra	ieu-b-4957	5085_18	IL_20_Ra	IL20RA	1	Wald ratio	0.0628836955814092	1.01144575511451	0.950425789169819	1.06490297910686	0.146672952391277	7.73161197359329
18878_15_GREM1_GREM1	ieu-b-4957	18878_15	GREM1	GREM1	1	Wald ratio	0.0417590479603528	0.0895294766404492	0.640909227385016	1.04264322147066	0.874836098426013	1.24263835161194
9263_57_SIAE_SIAE	ieu-b-4957	9263_57	SIAE	SIAE	1	Wald ratio	0.185382469012404	0.611646162493834	0.761822977196783	1.20367872191235	0.362966763514433	3.99166703737855
12573_80_TRIM3_TRIM3	ieu-b-4957	12573_80	TRIM3	TRIM3	1	Wald ratio	0.285057079546821	0.546552869085338	0.601980586806348	1.32983793250169	0.455578816709251	3.88180675189076
12637_7_CRAT_CACP	ieu-b-4957	12637_7	CACP	CRAT	1	Wald ratio	-0.190145315078377	0.716209229124702	0.790633166538146	0.826838973042805	0.203128721636585	3.36566233388508
12637_7_CRAT_CACP	myeloma_meta-analysis	12637_7	CACP	CRAT	1	Wald ratio	-0.382059800664452	0.449612403100775	0.395462038947234	0.682454240768041	0.282719479702036	1.64737071259872
17794_6_PMM2_Phosphomannomutase_2	myeloma_meta-analysis	17794_6	Phosphomannomutase_2	PMM2	1	Wald ratio	0.237216763585322	0.21736514938841	0.27512839959604	1.26771588263459	0.827936408217501	1.94109540676439
10737_96_SERPINB1_Serpin_B1	ieu-b-4957	10737_96	Serpin_B1	SERPINB1	1	Wald ratio	0.338498830145437	0.74492230237011	0.649535024839778	1.40284010783394	0.325774816735712	6.04086094765289
3580_25_SERPINA1_a1_Antitrypsin	ieu-b-4957	3580_25	a1_Antitrypsin	SERPINA1	1	Wald ratio	-0.209093626408897	0.170855941228468	0.221027407101962	0.811319271177498	0.580438590195694	1.13403721065834
3580_25_SERPINA1_a1_Antitrypsin	myeloma_meta-analysis	3580_25	a1_Antitrypsin	SERPINA1	1	Wald ratio	-0.143798828125	0.099365234375	0.147848071345211	0.866061957843489	0.712799797084072	1.05227767725533
8356_88_OXT_NEU1	ieu-b-4957	8356_88	NEU1	OXT	1	Wald ratio	0.192389825510124	0.183186345812305	0.293607287201466	1.21214294911935	0.846491251575173	1.7357421312573
10561_5_PGLYRP3_PGRP_I_alpha	ieu-b-4957	10561_5	PGRP_I_alpha	PGLYRP3	1	Wald ratio	-2.2103831267438	1.22554502775392	0.0712953014926447	0.10965862731349	0.00992745248528583	1.21128905548548
19113_66_SH3BGRL2_SH3L2	ieu-b-4957	19113_66	SH3L2	SH3BGRL2	1	Wald ratio	-0.18243771668268	0.569932296947448	0.748889348939172	0.833236539047978	0.272666724566845	2.54627010724385
15322_35_CRADD_CRADD	ieu-b-4957	15322_35	CRADD	CRADD	1	Wald ratio	-0.782314610443812	1.10456359894907	0.478785838134866	0.457346206954211	0.0524833520026676	3.98536955118212
15322_35_CRADD_CRADD	myeloma_meta-analysis	15322_35	CRADD	CRADD	1	Wald ratio	-1.17595307917889	0.683284457478006	0.0852453723992401	0.308524790963278	0.0808474999240692	1.17737155420184
9884_8_PPIL1_PPIL1	ieu-b-4957	9884_8	PPIL1	PPIL1	1	Wald ratio	0.156163838605837	0.138854939145703	0.260735449803196	1.16901771763376	0.890482487717348	1.5346763614013
6049_64_PTPRS_PTPRS	ieu-b-4957	6049_64	PTPRS	PTPRS	1	Wald ratio	0.695406723075976	0.717340261261124	0.332333781563084	2.00452419441201	0.49135903364019	8.17755850791067
3719_2_CDKN1B_p27Kip1	ieu-b-4957	3719_2	p27Kip1	CDKN1B	1	Wald ratio	-0.164121638792279	0.739413014018126	0.82434341518664	0.848638788204446	0.19921489823981	3.61513018960141
3719_2_CDKN1B_p27Kip1	myeloma_meta-analysis	3719_2	p27Kip1	CDKN1B	1	Wald ratio	0.876553438276719	0.459817729908865	0.0566104765374239	2.40260469461671	0.975612975854791	5.9168025246247
10832_24_B4GALT6_B4GT6	ieu-b-4957	10832_24	B4GT6	B4GALT6	1	Wald ratio	-0.100271744306991	0.131135959173772	0.444486195589005	0.904591567024675	0.699563839694997	1.16970869090221
10832_24_B4GALT6_B4GT6	myeloma_meta-analysis	10832_24	B4GT6	B4GALT6	1	Wald ratio	-0.0785863541382756	0.0973017170891251	0.419288411651051	0.924422228799758	0.763915789060913	1.11865269619525
17791_25_HPCAL1_HPCL1	ieu-b-4957	17791_25	HPCL1	HPCAL1	1	Wald ratio	-0.871054833320957	0.564472165136804	0.122798849864752	0.418509858189803	0.138425877518171	1.26530172350945
9076_25_PENK_PENK	ieu-b-4957	9076_25	PENK	PENK	1	Wald ratio	0.00973589775111654	0.121635840279093	0.936204363108761	1.00978344578595	0.79559075741447	1.28164209787589
5069_9_CD55_DAF	ieu-b-4957	5069_9	DAF	CD55	1	Wald ratio	0.0659487604133445	0.166817770531665	0.692596304562929	1.06817198307284	0.770270081970717	1.48128742388977
3298_52_CNTN4_Contactin_4	ieu-b-4957	3298_52	Contactin_4	CNTN4	1	Wald ratio	-0.0405704816257166	0.25804561903266	0.875069788694652	0.960241482745496	0.579065376542227	1.59233092244469
17419_17_TES_TES	myeloma_meta-analysis	17419_17	TES	TES	1	Wald ratio	0.346251358203549	0.62477363274176	0.579439994855907	1.41375793081388	0.415486580695341	4.81053198780616
5109_24_NRCAM_Nr_CAM	ieu-b-4957	5109_24	Nr_CAM	NRCAM	1	Wald ratio	0.477746695723155	0.963011200353491	0.619826174803164	1.61243699446297	0.244203042832971	10.6466857699684
2644_11_PRKCA_PKC_A	ieu-b-4957	2644_11	PKC_A	PRKCA	1	Wald ratio	1.14266453027526	0.735682710726106	0.120374665332659	3.13511084361633	0.741356559323451	13.2580198801105
2644_11_PRKCA_PKC_A	myeloma_meta-analysis	2644_11	PKC_A	PRKCA	1	Wald ratio	1.08292079207921	0.454207920792079	0.0171164747380806	2.9532929205814	1.21248656981477	7.19343149185451
8916_32_STIM1_STIM1	ieu-b-4957	8916_32	STIM1	STIM1	1	Wald ratio	-0.0778812043452301	0.668116620031069	0.907202176266435	0.925074314825225	0.249726295316395	3.42680167847417
8916_32_STIM1_STIM1	myeloma_meta-analysis	8916_32	STIM1	STIM1	1	Wald ratio	-0.856992639327024	0.390115667718191	0.0280371982989454	0.424436598827236	0.197578491543931	0.911771443421394
2974_61_CNTN1_contactin_1	ieu-b-4957	2974_61	contactin_1	CNTN1	1	Wald ratio	0.511657639334853	0.293599733116128	0.0813852075704338	1.66805393631638	0.938194648067457	2.96570007108005
12687_2_DECR1_DECR	myeloma_meta-analysis	12687_2	DECR	DECR1	1	Wald ratio	0.565908535094155	0.511005135730007	0.268102887822211	1.7610470291545	0.646836623074341	4.79454398261159
4314_12_DCTPP1_XTP3A	ieu-b-4957	4314_12	XTP3A	DCTPP1	1	Wald ratio	-2.06182302130158	1.16420251675975	0.0765577930098968	0.127221830254777	0.0129889023153756	1.24609406556363
4314_12_DCTPP1_XTP3A	myeloma_meta-analysis	4314_12	XTP3A	DCTPP1	1	Wald ratio	-1.83946488294314	0.722408026755853	0.0108872733676154	0.158902434763319	0.038565984739441	0.654721613989749
7981_230_B3GALT6_B3GT6	ieu-b-4957	7981_230	B3GT6	B3GALT6	1	Wald ratio	-1.1036211063505	1.17090014483136	0.345915855769695	0.331667901842449	0.0334205135221275	3.29149930744599
15466_30_COL9A1_CO9A1	myeloma_meta-analysis	15466_30	CO9A1	COL9A1	1	Wald ratio	0.269596101428925	0.222102915668621	0.224811066933555	1.30943546479896	0.84727868431511	2.0236803642231
15511_37_NPTXR_NPTXR	myeloma_meta-analysis	15511_37	NPTXR	NPTXR	1	Wald ratio	-0.0949828888745399	0.0620520436495125	0.125844248486791	0.909388494995732	0.805248064457724	1.02699710975092
16890_37_ADAMTSL1_ATL1	ieu-b-4957	16890_37	ATL1	ADAMTSL1	1	Wald ratio	0.0990646488948579	0.265681673582257	0.709245415943749	1.10413767853226	0.655949528456562	1.85855764851783
8345_27_GPX7_GPX7	ieu-b-4957	8345_27	GPX7	GPX7	1	Wald ratio	0.0717346725807939	0.107063625495297	0.502845622942622	1.07437024635863	0.871002847076885	1.32522118628484
8345_27_GPX7_GPX7	myeloma_meta-analysis	8345_27	GPX7	GPX7	1	Wald ratio	0.0431725495710871	0.0676416819012797	0.523308586126588	1.04411804142827	0.91447500174873	1.19214027977941
7950_142_BTNL9_BTNL9	myeloma_meta-analysis	7950_142	BTNL9	BTNL9	1	Wald ratio	-1.49982288345731	1.17180304640453	0.20057065304487	0.223169683690997	0.0224479304385109	2.21867703373209
8243_55_SPINK1_TATI	ieu-b-4957	8243_55	TATI	SPINK1	1	Wald ratio	0.6897611749686	0.522790913270525	0.187041273842766	1.9932394409219	0.715403174319536	5.55351669025736
9370_69_GGH_GGH	ieu-b-4957	9370_69	GGH	GGH	1	Wald ratio	-0.0857356028486602	0.185283820257756	0.643560926994719	0.917836872596402	0.638335105018237	1.31972144109711
6998_106_ASPH_HAAH	ieu-b-4957	6998_106	HAAH	ASPH	1	Wald ratio	0.188404585853467	0.676799216500262	0.780723823507324	1.20732188190384	0.320420245209997	4.54910745595535
6364_7_TAPBPL_TPSNR	ieu-b-4957	6364_7	TPSNR	TAPBPL	1	Wald ratio	-0.0951162795345039	0.0483527700073688	0.0491679988466719	0.909267199154267	0.827051999432976	0.999655209133976
16781_2_ENGASE_ENASE	ieu-b-4957	16781_2	ENASE	ENGASE	1	Wald ratio	-0.0838591683678522	0.139876360625271	0.548823829262629	0.919560750217788	0.699061306075185	1.20961061067534
4297_62_SPON1_Spondin_1	ieu-b-4957	4297_62	Spondin_1	SPON1	1	Wald ratio	0.0731987870685102	0.206354632127028	0.722796926457479	1.0759443994905	0.718021122458705	1.61228731939086
3805_16_ESM1_Endocan	ieu-b-4957	3805_16	Endocan	ESM1	1	Wald ratio	0.366002981762113	0.449111980229517	0.415101984526403	1.44195954222844	0.597945001804424	3.47732201983306
11480_1_ALDH3A1_Aldehyde_dehydrogenase__class_3	ieu-b-4957	11480_1	Aldehyde_dehydrogenase__class_3	ALDH3A1	1	Wald ratio	-0.0969583055445349	0.481483630158108	0.840406109661652	0.907593846975624	0.353219281572262	2.33205443202707
18871_24_AIF1L_AIF1L	ieu-b-4957	18871_24	AIF1L	AIF1L	1	Wald ratio	0.0898702921350661	0.114692964491162	0.433290796570848	1.09403236989887	0.873778892914435	1.36980514875375
18871_24_AIF1L_AIF1L	myeloma_meta-analysis	18871_24	AIF1L	AIF1L	1	Wald ratio	-0.0365448504983389	0.0725359911406423	0.614390125187987	0.964114851895055	0.836343894742657	1.1114057907132
15644_1_BTD_Biotinidase	ieu-b-4957	15644_1	Biotinidase	BTD	1	Wald ratio	0.0861613337826031	0.105038714547198	0.412055544656651	1.0899821650662	0.887173647194292	1.33915285234145
9841_197_PAICS_Multifunctional_protein_ADE2	ieu-b-4957	9841_197	Multifunctional_protein_ADE2	PAICS	1	Wald ratio	-0.341228939240691	0.671185790231385	0.611174854881692	0.710896137552884	0.190757347969505	2.64929935211931
9841_197_PAICS_Multifunctional_protein_ADE2	myeloma_meta-analysis	9841_197	Multifunctional_protein_ADE2	PAICS	1	Wald ratio	-0.370197300103842	0.510384215991693	0.468249224878525	0.69059806212553	0.253967146847922	1.87790306475005
17746_77_FIS1_FIS1	ieu-b-4957	17746_77	FIS1	FIS1	1	Wald ratio	0.187441063263239	0.399066333678972	0.638570072749884	1.2061591602412	0.551712086751837	2.6369187022871
17676_13_TRIP10_CIP4	myeloma_meta-analysis	17676_13	CIP4	TRIP10	1	Wald ratio	0.625924734641364	0.570923126407205	0.272930873252918	1.8699743882344	0.610739602514094	5.7255239356644
9316_67_WFDC1_WFDC1	ieu-b-4957	9316_67	WFDC1	WFDC1	1	Wald ratio	-0.0458469105178422	0.171317443602241	0.788996614498897	0.955188180262084	0.682748237585623	1.33634099582421
4559_64_KYNU_KYNU	ieu-b-4957	4559_64	KYNU	KYNU	1	Wald ratio	-0.213295127447985	0.162501232992098	0.189326049853297	0.807917663349961	0.587547876650834	1.11094087255253
10445_20_APOM_ApoM	ieu-b-4957	10445_20	ApoM	APOM	1	Wald ratio	0.360713803621119	0.336930081532366	0.284354051940326	1.43435289552546	0.741063356358632	2.77623797108466
12457_10_ADI1_MTND	myeloma_meta-analysis	12457_10	MTND	ADI1	1	Wald ratio	0.327009936766034	0.411020776874435	0.426262010905492	1.38681525757058	0.619656004786702	3.10374876346528
8346_9_DPP7_DPP2	ieu-b-4957	8346_9	DPP2	DPP7	1	Wald ratio	0.282233785359355	0.139224864802887	0.0426440636037322	1.3260887038747	1.00939692680731	1.74214048392856
4498_62_NCAM1_NCAM_120	ieu-b-4957	4498_62	NCAM_120	NCAM1	1	Wald ratio	-0.135342321068128	0.259027756887134	0.601321391647859	0.873416871510701	0.525693610991095	1.45114381360146
4498_62_NCAM1_NCAM_120	myeloma_meta-analysis	4498_62	NCAM_120	NCAM1	1	Wald ratio	0.0541284403669725	0.160550458715596	0.736009211344397	1.05562017769121	0.77062727053272	1.44600898794889
2993_1_IL18RAP_IL_18_Rb	ieu-b-4957	2993_1	IL_18_Rb	IL18RAP	1	Wald ratio	-0.405240299906503	0.768831918268012	0.598134085645253	0.666816555648613	0.147762228736941	3.00918795478291
13642_90_IFIT3_CIG49	ieu-b-4957	13642_90	CIG49	IFIT3	1	Wald ratio	0.467196231022276	0.743121380242399	0.52954916198795	1.59551446213404	0.371828826563963	6.8463395439325
13642_90_IFIT3_CIG49	myeloma_meta-analysis	13642_90	CIG49	IFIT3	1	Wald ratio	0.913716814159292	0.466814159292035	0.050306806022324	2.49357347992777	0.998761829113796	6.22561707761327
3235_50_WFIKKN2_WFKN2	ieu-b-4957	3235_50	WFKN2	WFIKKN2	1	Wald ratio	0.0555794900400071	0.115470891702475	0.63028268177208	1.0571530468706	0.84303782059631	1.32564938037691
3235_50_WFIKKN2_WFKN2	myeloma_meta-analysis	3235_50	WFKN2	WFIKKN2	1	Wald ratio	-0.0158102766798419	0.0703933747412008	0.822291296986035	0.984314049670825	0.857459534474617	1.12993571057908
5621_64_THSD1_THSD1	ieu-b-4957	5621_64	THSD1	THSD1	1	Wald ratio	0.0406474667340248	0.120153885967033	0.735140841842177	1.04148488275298	0.822954677439472	1.31804434768859
5621_64_THSD1_THSD1	myeloma_meta-analysis	5621_64	THSD1	THSD1	1	Wald ratio	-0.150081677103185	0.0880070786822761	0.0881316975289541	0.860637679161732	0.724281209338024	1.02266523726312
6493_9_CPZ_CBPZ	ieu-b-4957	6493_9	CBPZ	CPZ	1	Wald ratio	-0.742241594135816	0.865164733878014	0.390936980759387	0.476045617558437	0.0873384504613536	2.5947269364124
11659_31_CLINT1_EPN4	ieu-b-4957	11659_31	EPN4	CLINT1	1	Wald ratio	1.13129242847483	1.08726703624776	0.298111474813985	3.09966000129593	0.367971068330559	26.1104552790625
6649_51_NTN1_NET1	ieu-b-4957	6649_51	NET1	NTN1	1	Wald ratio	0.139800776284801	0.194460619363334	0.472192913059388	1.15004465986324	0.785572884914035	1.68361554361018
6649_51_NTN1_NET1	myeloma_meta-analysis	6649_51	NET1	NTN1	1	Wald ratio	0.176583085422864	0.105609859753506	0.0945179740483365	1.19313355464742	0.970045559826894	1.46752661749169
2590_69_ROR1_ROR1	ieu-b-4957	2590_69	ROR1	ROR1	1	Wald ratio	0.201924576968093	0.26063253109412	0.438488480098864	1.22375570526492	0.734243042960628	2.03962167640006
2590_69_ROR1_ROR1	myeloma_meta-analysis	2590_69	ROR1	ROR1	1	Wald ratio	0.179094540612517	0.137816245006658	0.193766594686235	1.19613382204676	0.912994612208096	1.5670805732182
9574_11_BIN1_BIN1	ieu-b-4957	9574_11	BIN1	BIN1	1	Wald ratio	0.289460030433813	0.457052088661903	0.526524978665412	1.33570605264863	0.545331144993606	3.27160969158123
9574_11_BIN1_BIN1	myeloma_meta-analysis	9574_11	BIN1	BIN1	1	Wald ratio	0.154670750382848	0.280245022970904	0.581008256991432	1.16727357345168	0.673943166287953	2.02172477359389
17776_15_PECR_PECR	ieu-b-4957	17776_15	PECR	PECR	1	Wald ratio	1.09157049035331	0.61481481159498	0.0758242764106	2.97894881115722	0.892734066460466	9.94040258223752
9329_28_TREML1_TRML1	myeloma_meta-analysis	9329_28	TRML1	TREML1	1	Wald ratio	0.879651404066953	0.391755429519989	0.0247418494027633	2.41005942305276	1.11830121576696	5.19393732274705
3835_11_TLR2_TLR2	myeloma_meta-analysis	3835_11	TLR2	TLR2	1	Wald ratio	0.35283608753908	0.624832514515409	0.572285274186042	1.42309786084266	0.418183210057236	4.84287143249431
12469_19_MAPRE1_MARE1	ieu-b-4957	12469_19	MARE1	MAPRE1	1	Wald ratio	-0.663102794026835	0.941185824779865	0.481096725491603	0.515250136636452	0.0814450262723042	3.25965519878728
15398_2_GFER_HERV1	ieu-b-4957	15398_2	HERV1	GFER	1	Wald ratio	-0.782165446559403	1.09210852549266	0.473869377789188	0.457414431579159	0.0537883619135329	3.88983703488179
19293_6_VPS26A_VP26A	ieu-b-4957	19293_6	VP26A	VPS26A	1	Wald ratio	-0.376918977428896	0.369066287910684	0.307123135321588	0.685971650831352	0.332774930554929	1.41404012904337
19293_6_VPS26A_VP26A	myeloma_meta-analysis	19293_6	VP26A	VPS26A	1	Wald ratio	0.196089082020641	0.212384573601304	0.355864612232419	1.21663528083629	0.802370600680027	1.84478519691661
8890_9_TMEM132B_T132B	ieu-b-4957	8890_9	T132B	TMEM132B	1	Wald ratio	-0.67083141830399	0.398759579991749	0.0925115672498052	0.511283310720571	0.234007948772572	1.11710147109339
8890_9_TMEM132B_T132B	myeloma_meta-analysis	8890_9	T132B	TMEM132B	1	Wald ratio	-0.213436385255648	0.237217598097503	0.368253641800779	0.807803546732185	0.507436916869762	1.28596589727542
10514_5_PTGDS_PGD2_synthase	ieu-b-4957	10514_5	PGD2_synthase	PTGDS	1	Wald ratio	-1.08726379102464	0.411853328971216	0.00829232525836648	0.337137712042667	0.150394067086412	0.755760111308494
3488_64_CAT_Catalase	myeloma_meta-analysis	3488_64	Catalase	CAT	1	Wald ratio	0.131132075471698	0.204716981132075	0.521813147147824	1.14011835303762	0.763293078908271	1.70297608461538
7648_9_MYBPC1_MYPC1	ieu-b-4957	7648_9	MYPC1	MYBPC1	1	Wald ratio	-0.143932309591657	0.749701675993168	0.84775308444324	0.86594636233824	0.199219590150465	3.76400283667123
15653_9_COL10A1_COAA1	ieu-b-4957	15653_9	COAA1	COL10A1	1	Wald ratio	-0.233646765963906	0.255659266910048	0.360769883013485	0.791641401200439	0.47963066023547	1.30662228262664
